ranking,nombre,institucion,disciplina,h_index,citas,trabajos,scholar_id,openalex_id,orcid,topics
32,Larissa Lomnitz,Centro de Estudios Científicos,Ciencia Política,15,1797,102,,A5047797639,,"Science, Technology, and Education in Latin America; Educational Research and Science Teaching; Political Dynamics in Latin America; Latin American and Latino Studies; Social Sciences and Policies"
33,Iskra Pávez Soto,Universidad Bernardo O'Higgins,Sociología,15,601,95,,A5050678752,0000-0002-6438-1522,"Migration, Education, Indigenous Social Dynamics; Immigration and Intercultural Education; Social Sciences and Policies; Cultural and Social Studies in Latin America; Gender, Health, and Social Inequality"
34,Cristián Cox,Universidad Diego Portales,Sociología,15,590,79,,A5014842046,0000-0001-9464-3063,Educational Practices and Policies; Education and Teacher Training; Educator Training and Historical Pedagogy; Global Education and Multiculturalism; Social Sciences and Policies
35,Cristóbal Villalobos,Pontificia Universidad Católica de Chile,Sociología,15,781,111,,A5103045557,0000-0002-1964-7213,Education and Teacher Training; Social Sciences and Policies; Inclusive Education and Diversity; School Choice and Performance; Global Education and Multiculturalism
36,Elizabeth Lira,Alberto Hurtado University,Ciencia Política,15,688,104,,A5103267291,0000-0002-9266-049X,"Political and Social Dynamics in Chile and Latin America; Memory, violence, and history; Conflict, Peace, and Violence in Colombia; Social Sciences and Policies; Criminal Justice and Penology"
37,Pedro Palominos,Universidad de Santiago de Chile,Administración,14,626,63,,A5052930912,0000-0002-5695-3025,Quality and Supply Management; Accounting and Organizational Management; Multi-Criteria Decision Making; Scheduling and Optimization Algorithms; Sustainable Supply Chain Management
38,Mauricio Morales,University of Talca,Ciencia Política,14,703,88,BPVbhToAAAAJ,A5064525965,0000-0001-6010-9604,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Electoral Systems and Political Participation; Public Policy and Governance; Political Theory and Democracy
39,Javier Núñez,University of Chile,Sociología,14,600,73,,A5101477400,0000-0003-1946-2689,"Intergenerational and Educational Inequality Studies; Income, Poverty, and Inequality; Experimental Behavioral Economics Studies; Labor market dynamics and wage inequality; Sperm and Testicular Function"
40,Matías Berthelon,Adolfo Ibáñez University,Sociología,14,655,41,,A5049583648,0000-0001-7851-2960,"Poverty, Education, and Child Welfare; Gender, Labor, and Family Dynamics; Income, Poverty, and Inequality; Early Childhood Education and Development; School Choice and Performance"
41,Aldo Madariaga,Universidad Diego Portales,Ciencia Política,14,703,82,,A5088919940,0000-0002-1219-8355,"Social Policy and Reform Studies; Economic Theory and Policy; Political Economy and Marxism; Regional resilience and development; Housing, Finance, and Neoliberalism"
42,Martín Hopenhayn,Universidad Diego Portales,Ciencia Política,13,560,149,,A5041465961,,"Social Sciences and Policies; Economic and Social Development; Employment, Labor, and Gender Studies; Regional Development and Innovation; Public Policy and Governance"
43,Cristián Parker Gumucio,Universidad de Santiago de Chile,Educación,13,463,86,,A5022914575,0000-0001-8041-9642,"Religion and Society Interactions; Religion and Society in Latin America; Religious and Theological Studies; Religion, Society, and Development; Higher Education and Sustainability"
44,Jenny Assaél,University of Chile,Educación,13,595,43,,A5022509851,0000-0001-5597-5241,Education and Teacher Training; Educational Practices and Policies; Inclusive Education and Diversity; Education in Rural Contexts; Social Sciences and Policies
45,Cynthia Duk,Universidad Central de Chile,Sociología,13,615,46,,A5068860915,0000-0002-8443-0707,Social Sciences and Policies; Inclusive Education and Diversity; Education and Teacher Training; Educational Practices and Policies; Immigration and Intercultural Education
46,Nicole Jenne,Pontificia Universidad Católica de Chile,Ciencia Política,13,539,73,HaX6qs4AAAAJ,A5002818343,0000-0001-7114-3146,Peacebuilding and International Security; International Relations and Foreign Policy; International Relations in Latin America; Global Peace and Security Dynamics; International Development and Aid
47,Kathya Araujo,Universidad de Santiago de Chile,Ciencia Política,13,551,70,,A5006149473,0000-0002-7314-3577,"Cultural and Social Studies in Latin America; Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies; Latin American socio-political dynamics; Gender, Violence, Rights in Latin America"
48,Antonio Stecher,Universidad Diego Portales,Ciencia Política,13,395,52,,A5081000743,0000-0001-6235-1912,"Employment, Labor, and Gender Studies; Labor Movements and Unions; Latin American socio-political dynamics; Social Sciences and Policies; Employment and Welfare Studies"
49,Claudio Sapelli,Pontificia Universidad Católica de Chile,Sociología,13,654,70,PWLh77oAAAAJ,A5034464471,,"School Choice and Performance; Educational Outcomes and Influences; Income, Poverty, and Inequality; Economic Theory and Policy; Economic and Social Development"
50,Magdalena Saldaña,Pontificia Universidad Católica de Chile,Ciencia Política,13,501,52,UknWOrEAAAAJ,A5014762829,0000-0002-1218-0091,Social Media and Politics; Media Studies and Communication; Misinformation and Its Impacts; Electoral Systems and Political Participation; Hate Speech and Cyberbullying Detection
51,Felipe Link,Pontificia Universidad Católica de Chile,Ciencias Sociales,13,799,62,,A5040021924,0000-0001-5355-5489,"Latin American Urban Studies; Regional Development and Innovation; Social Sciences and Policies; Migration, Aging, and Tourism Studies; Place Attachment and Urban Studies"
52,María Luisa Méndez,Pontificia Universidad Católica de Chile,Ciencia Política,13,512,75,,A5101936692,0000-0002-3493-1511,"Urban, Neighborhood, and Segregation Studies; Political and Social Dynamics in Chile and Latin America; Social and Cultural Dynamics; Social Sciences and Policies; Public Policy and Governance"
53,Maurice A. Garnier,Pontificia Universidad Católica de Chile,Sociología,13,669,34,,A5036951725,,"Intergenerational and Educational Inequality Studies; Labor market dynamics and wage inequality; School Choice and Performance; Global Educational Policies and Reforms; Defense, Military, and Policy Studies"
54,Émmanuelle Barozet,Centro de Estudios Científicos,Ciencia Política,12,1628,84,NLiNCD0AAAAJ,A5061414963,0000-0001-9297-3480,"Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies; Public Policy and Governance; Latin American socio-political dynamics; Income, Poverty, and Inequality"
55,Ricardo A. Ayala,University of the Americas,Ciencia Política,12,415,98,,A5002754958,0000-0001-7840-1072,"Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America; Interprofessional Education and Collaboration; Nursing Education, Practice, and Leadership; Ethics in medical practice"
56,Ricardo Gamboa,University of Chile,Ciencia Política,12,448,53,ckIjzZQAAAAJ,A5103053126,0000-0001-5728-2772,Political and Social Dynamics in Chile and Latin America; International Relations in Latin America; Politics and Society in Latin America; Electoral Systems and Political Participation; Political Theory and Democracy
57,Sergio Toro,Universidad Mayor,Ciencia Política,12,413,64,F7Dguu4AAAAJ,A5000725260,0000-0003-1129-5441,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Social Media and Politics; Electoral Systems and Political Participation; International Relations in Latin America
58,José Tessada,Pontificia Universidad Católica de Chile,Sociología,12,769,72,,A5054687499,,"Migration, Ethnicity, and Economy; Labor market dynamics and wage inequality; Migration and Labor Dynamics; Gender, Labor, and Family Dynamics; Financial Literacy, Pension, Retirement Analysis"
59,Cristina Vega,University of Concepción,Sociología,12,409,92,,A5013425294,0000-0002-5317-4237,Social Sciences and Policies; Immigration and Intercultural Education; Gender and Feminist Studies; Employment and Welfare Studies; Plant and soil sciences
60,Esteban Puentes,University of Chile,Sociología,12,475,93,,A5002260730,0000-0001-7603-2197,"Labor market dynamics and wage inequality; Taxation and Compliance Studies; Employment and Welfare Studies; Income, Poverty, and Inequality; Poverty, Education, and Child Welfare"
61,Matías Bargsted,Pontificia Universidad Católica de Chile,Ciencia Política,12,965,33,5q8wMVcAAAAJ,A5083176736,0000-0001-5617-6230,Electoral Systems and Political Participation; Social Media and Politics; Social Capital and Networks; Religion and Society Interactions; Political and Social Dynamics in Chile and Latin America
62,Alejandro Corvalán,University of Chile,Ciencia Política,12,533,82,,A5091749160,0000-0001-9281-8018,"Philosophy and History of Science; Bayesian Modeling and Causal Inference; Electoral Systems and Political Participation; Politics and Society in Latin America; Income, Poverty, and Inequality"
63,Osvaldo Larrañaga,Pontificia Universidad Católica de Chile,Ciencia Política,12,553,65,,A5059102514,,"Economic Theory and Policy; Economic and Social Development; Income, Poverty, and Inequality; Poverty, Education, and Child Welfare; Public Policy and Governance"
64,Antoine Maillet,University of Chile,Ciencia Política,12,491,60,,A5002071527,0000-0002-4607-3964,Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; International Relations in Latin America; Social Policy and Reform Studies; Public Policy and Administration Research
65,Ernesto Garzón Valdés,Federico Santa María Technical University,Ciencias Sociales,12,416,159,,A5001165594,,Comparative constitutional jurisprudence studies; Ethics and bioethics in healthcare; Social Sciences and Policies; Comparative International Legal Studies; Legal processes and jurisprudence
66,Vicente Espinoza,Centro de Estudios Científicos,Ciencia Política,12,569,67,,A5049248836,0000-0002-2943-4430,Social Sciences and Policies; Latin American socio-political dynamics; Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; Social Capital and Networks
67,Raúl Berríos,Universidad de Santiago de Chile,Sociología,12,852,25,,A5075170717,0000-0003-1826-7822,Social and Intergroup Psychology; Cultural Differences and Values; Job Satisfaction and Organizational Behavior; Behavioral Health and Interventions; Gender Diversity and Inequality
68,María Cristina Riff,Federico Santa María Technical University,Ciencias Sociales,11,551,40,,A5111448161,,Scheduling and Timetabling Solutions; Metaheuristic Optimization Algorithms Research; Constraint Satisfaction and Optimization; Artificial Immune Systems Applications; Vehicle Routing Optimization Methods
69,Modesto Gayo,Universidad Diego Portales,Sociología,11,519,70,,A5028904878,0000-0003-0446-2467,Cultural Industries and Urban Development; Social and Cultural Dynamics; Social Sciences and Policies; Music History and Culture; Parental Involvement in Education
70,Catherine Reyes-Housholder,Pontificia Universidad Católica de Chile,Ciencia Política,11,337,31,gkHNPiwAAAAJ,A5049982755,0000-0002-4432-3376,Gender Politics and Representation; Electoral Systems and Political Participation; Corruption and Economic Development; Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America
71,Caterine Galaz Valderrama,University of Chile,Sociología,11,422,91,,A5029737401,0000-0001-6301-7609,"Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics; Immigration and Intercultural Education; Cultural and Social Studies in Latin America; Gender, Health, and Social Inequality"
72,Lorena Godoy,Universidad Diego Portales,Educación,11,286,34,,A5006227576,0000-0002-3186-5897,"Employment, Labor, and Gender Studies; Educational theories and practices; Social Sciences and Policies; Health, Medicine and Society; Aging, Elder Care, and Social Issues"
73,Alfredo Joignant,Universidad Diego Portales,Ciencia Política,11,492,71,5q8wMVcAAAAJ,A5068977331,0000-0002-5811-0988,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; French Urban and Social Studies; Social Sciences and Governance; Electoral Systems and Political Participation
74,Juan Diego García‐Castro,Centro de Estudios Científicos,Sociología,11,584,54,,A5008172930,0000-0002-9662-6547,"Psychological Well-being and Life Satisfaction; Income, Poverty, and Inequality; Social and Cultural Dynamics; Global Health and Surgery; Crime Patterns and Interventions"
75,Rossana Castiglioni,Universidad Diego Portales,Ciencia Política,11,468,35,,A5078974026,0000-0002-6510-0294,Social Policy and Reform Studies; Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; Politics and Society in Latin America; Employment and Welfare Studies
76,Nicolás Didier,University of Chile,Sociología,11,1569,34,,A5066902985,0000-0002-8904-5111,"Labor market dynamics and wage inequality; Cultural Differences and Values; Employment, Labor, and Gender Studies; Retirement, Disability, and Employment; Social and Intergroup Psychology"
77,Alejandra Falabella,Alberto Hurtado University,Educación,11,708,45,,A5074996624,0000-0003-2755-4911,Education and Teacher Training; Global Educational Policies and Reforms; Educational Assessment and Improvement; Educational Practices and Policies; Social Sciences and Policies
78,Carlos Rodríguez Garcés,University of Bío-Bío,Educación,10,350,114,,A5029320101,0000-0002-9346-0780,Education and Teacher Training; Educational Outcomes and Influences; Educational Innovations and Technology; Social Sciences and Policies; Education and Labor Relations
79,Carmen Gloria Núñez,Pontificia Universidad Católica de Valparaíso,Educación,10,338,46,,A5101817441,0000-0001-7252-5031,Education in Rural Contexts; Education and Teacher Training; Inclusive Education and Diversity; Educational Practices and Policies; Social Sciences and Policies
80,Elena Valentina Gutiérrez,Universidad Mayor,Administración,10,403,46,,A5073306856,0000-0003-1139-735X,"Quality and Supply Management; Business, Innovation, and Economy; Vehicle Routing Optimization Methods; Healthcare Operations and Scheduling Optimization; Supply Chain and Inventory Management"
81,Alexandre Janiak,Pontificia Universidad Católica de Chile,Sociología,10,390,43,,A5014387237,0000-0001-6216-4324,Labor market dynamics and wage inequality; Firm Innovation and Growth; Economic theories and models; Social Capital and Networks; Economic Growth and Productivity
82,Valeria Herrera Fernández,University of Chile,Psicología,10,295,38,,A5046185182,0000-0001-8176-6195,Hearing Impairment and Communication; Inclusive Education and Diversity; Social Sciences and Policies; Education in Rural Contexts; Subtitles and Audiovisual Media
83,Verónica Gómez Urrutia,Universidad Autónoma de Chile,Ciencias Sociales,10,279,66,,A5049987225,0000-0002-2399-7566,"Social Sciences and Policies; Employment, Labor, and Gender Studies; Work-Family Balance Challenges; Labor Law and Work Dynamics; Aging, Health, and Disability"
84,Mauricio López,University of Chile,Educación,10,297,45,,A5048609365,0000-0002-8288-2988,Inclusive Education and Diversity; Education and Teacher Training; Social Sciences and Policies; Disability Education and Employment; Education in Rural Contexts
85,Luis Maldonado,Pontificia Universidad Católica de Chile,Ciencia Política,10,652,73,,A5072377786,0000-0002-0028-4766,Religious and Theological Studies; Theology and Canon Law Studies; Political and Social Dynamics in Chile and Latin America; Employment and Welfare Studies; Social Policy and Reform Studies
86,Héctor Opazo Carvajal,Universidad Católica Silva Henríquez,Educación,10,248,51,,A5003637466,0000-0002-8276-1668,Service-Learning and Community Engagement; Higher Education and Sustainability; Education and Teacher Training; Educational Practices and Policies; Social Sciences and Policies
87,Francisco Pino,University of Chile,Ciencia Política,10,239,69,,A5101513853,0000-0002-8471-9834,"Social Sciences and Policies; Gender, Labor, and Family Dynamics; Employment, Labor, and Gender Studies; Economic and Social Development; Electoral Systems and Political Participation"
88,Alexander Panez Pinto,University of Bío-Bío,Ciencia Política,9,209,45,,A5057505110,0000-0003-1978-2076,"Social Sciences and Policies; Water Governance and Infrastructure; Agriculture, Land Use, Rural Development; Environmental and Cultural Studies in Latin America and Beyond; Latin American socio-political dynamics"
89,Felipe Agüero,University of Chile,Ciencia Política,9,561,36,,A5059645498,,Political and Social Dynamics in Chile and Latin America; International Relations in Latin America; Political Theory and Democracy; Spanish History and Politics; Cultural and Social Studies in Latin America
90,Astrid Oddershede,Universidad de Santiago de Chile,Ciencias Sociales,9,394,52,,A5055335957,0000-0002-1412-048X,Multi-Criteria Decision Making; Quality and Supply Management; Sustainable Supply Chain Management; Big Data and Business Intelligence; Accounting and Organizational Management
91,Martina Yopo Díaz,Pontificia Universidad Católica de Chile,Ciencias Sociales,9,226,35,,A5009256015,0000-0002-5886-8211,Social Sciences and Policies; Demographic Trends and Gender Preferences; Work-Family Balance Challenges; Reproductive Health and Technologies; Employment and Welfare Studies
92,Manuela García Quiroga,Pontificia Universidad Católica de Valparaíso,Ciencias Sociales,9,377,37,,A5008730783,0000-0002-4211-8889,Child Welfare and Adoption; Social Sciences and Policies; Child Abuse and Trauma; Children's Rights and Participation; Intergenerational Family Dynamics and Caregiving
93,Carlos Villalobos Barría,University of Talca,Sociología,9,215,35,,A5089914627,0000-0002-3981-2909,"Income, Poverty, and Inequality; Poverty, Education, and Child Welfare; Economic Theory and Policy; Migration and Labor Dynamics; Labor market dynamics and wage inequality"
94,Carmen Le Foulon,Adolfo Ibáñez University,Ciencia Política,9,250,21,,A5070754105,0000-0002-0127-8157,"Political and Social Dynamics in Chile and Latin America; Electoral Systems and Political Participation; Employment, Labor, and Gender Studies; Education and Teacher Training; Social Media and Politics"
95,Francisco Soto,Austral University of Chile,Ciencia Política,9,246,111,,A5063588648,0000-0002-9358-5217,Comparative constitutional jurisprudence studies; Paleontology and Stratigraphy of Fossils; Human Rights and Immigration; Legal processes and jurisprudence; Political Theory and Democracy
96,Lyonel Laulié,University of Chile,Sociología,9,368,28,,A5043053781,0000-0001-9817-4110,Job Satisfaction and Organizational Behavior; Gender Diversity and Inequality; Management and Organizational Studies; Team Dynamics and Performance; Advanced Wireless Network Optimization
97,Lisa Zanotti,Universidad Diego Portales,Ciencia Política,9,442,48,JD_X4KYAAAAJ,A5036102811,0000-0001-5515-3686,"Populism, Right-Wing Movements; Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Social Media and Politics; Social Policy and Reform Studies"
98,Carlos Calvo Muñoz,Universidad Católica del Norte,Educación,9,785,93,,A5012445390,0000-0002-5912-4396,Education and Teacher Training; Educational theories and practices; Education in Rural Contexts; Social Sciences and Policies; Educational Innovations and Technology
99,Gianluigi Oliveri,Pontificia Universidad Católica de Chile,Psicología,9,502,51,,A5002759210,,"Philosophy and Theoretical Science; History and Theory of Mathematics; Philosophy, Science, and History; Computability, Logic, AI Algorithms; Classical Philosophy and Thought"
100,María Emilia Tijoux,Universidad Bernardo O'Higgins,Ciencia Política,9,371,73,,A5027680190,0000-0003-2870-212X,"Migration, Education, Indigenous Social Dynamics; Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Immigration and Intercultural Education"
101,Juan Carlos Peña Axt,Universidad Autónoma de Chile,Ciencias Sociales,9,425,33,,A5015627577,0000-0002-7689-566X,Gender and Feminist Studies; Intimate Partner and Family Violence; Social Issues and Sustainability; Social Sciences and Policies; Sex work and related issues
102,Luis Gonzalo Acosta Espejo,Federico Santa María Technical University,Sociología,9,526,24,,A5065148721,0000-0001-5563-5087,Facility Location and Emergency Management; Horticultural and Viticultural Research; Multi-Criteria Decision Making; Urban and Freight Transport Logistics; Vehicle Routing Optimization Methods
103,Gianinna Muñoz Arce,Pontificia Universidad Católica de Chile,Ciencia Política,8,213,81,,A5074218640,0000-0003-4582-0507,Social Sciences and Policies; Social Work Education and Practice; Social Issues and Sustainability; Social and Political Issues; Educational Practices and Policies
104,José Félix Angulo Rasco,Pontificia Universidad Católica de Valparaíso,Educación,8,329,74,,A5069821611,0000-0002-6625-907X,Educational Practices and Policies; Social Sciences and Policies; Education and Teacher Training; Higher Education Teaching and Evaluation; Educational theories and practices
105,María Sol Anigstein,University of Chile,Ciencias Sociales,8,130,38,,A5000382135,0000-0002-4023-2389,"Public Health and Social Inequalities; Health and Lifestyle Studies; Aging, Health, and Disability; Social Sciences and Policies; Health disparities and outcomes"
106,Antonio Elizalde,Universidad de Los Lagos,Ciencia Política,8,180,65,,A5072749041,,Economic and Social Development; Regional Development and Innovation; Social Sciences and Policies; Higher Education and Sustainability; Public Policy and Governance
107,Ricardo Ramírez,University of Chile,Ciencia Política,8,567,33,,A5032588054,0000-0002-2333-3567,"Electoral Systems and Political Participation; Social Media and Politics; Latin American and Latino Studies; Migration, Ethnicity, and Economy; Media Studies and Communication"
108,Macarena Trujillo Cristoffanini,Universidad de Playa Ancha de Ciencias de la Educación,Ciencia Política,8,115,28,,A5054295096,0000-0003-2773-2570,"Latin American socio-political dynamics; Social Sciences and Policies; Gender and Feminist Studies; Gender, Violence, Rights in Latin America; Latin American Cultural Politics"
109,Óscar Mac-Clure,Universidad de Los Lagos,Ciencia Política,8,198,36,,A5064196945,0000-0003-3905-4121,"Social and Cultural Dynamics; Political and Social Dynamics in Chile and Latin America; Latin American Urban Studies; Income, Poverty, and Inequality; Latin American socio-political dynamics"
110,Alexis Cortés,Alberto Hurtado University,Ciencia Política,8,177,55,,A5050754525,0000-0001-5833-3404,"Political and Social Dynamics in Chile and Latin America; Latin American socio-political dynamics; Memory, violence, and history; Public Spaces through Art; Social Sciences and Policies"
111,Pablo Pérez Ahumada,University of Chile,Ciencia Política,8,171,38,,A5101809178,0000-0002-0410-0725,"Labor Movements and Unions; Social Policy and Reform Studies; Employment, Labor, and Gender Studies; Employment and Welfare Studies; Latin American socio-political dynamics"
112,Catalina Álvarez,University of Chile,Sociología,8,194,33,,A5102008690,0000-0002-2137-965X,"Migration, Education, Indigenous Social Dynamics; Memory, violence, and history; Education and Teacher Training; Social Sciences and Policies; Cultural and Social Studies in Latin America"
