ranking,openalex_id,orcid,nombre,institucion,pais_institucion,ror,h_index,i10_index,citas,trabajos,campo_principal,dominio,topics,works_api_url
1,A5034708283,,Arend Lijphart,Gobierno de Chile,CL,https://ror.org/02sevrz47,59,115,32776,475,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Political Systems and Governance; European Union Policy and Governance; Agriculture and Rural Development Research; European and International Law Studies,https://api.openalex.org/works?filter=author.id:A5034708283
13,A5067510313,0000-0002-0222-2331,Daniel Chernilo,Adolfo Ibáñez University,CL,https://ror.org/0326knt82,19,25,1501,127,Social Sciences,Social Sciences,"Critical Theory and Philosophy; Weber, Simmel, Sociological Theory; Contemporary Sociological Theory and Practice; Critical Realism in Sociology; Religion and Society Interactions",https://api.openalex.org/works?filter=author.id:A5067510313
14,A5040669170,0000-0002-1633-8853,Miguel Alfaro,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,18,27,1055,70,"Business, Management and Accounting",Social Sciences,Quality and Supply Management; Metaheuristic Optimization Algorithms Research; Vehicle Routing Optimization Methods; Innovation and Knowledge Management; Urban and Freight Transport Logistics,https://api.openalex.org/works?filter=author.id:A5040669170
15,A5101899080,0009-0008-6275-3856,Juan‐Carlos Ferrer,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,18,24,936,39,"Business, Management and Accounting",Social Sciences,Consumer Market Behavior and Pricing; Scheduling and Timetabling Solutions; Supply Chain and Inventory Management; Scheduling and Optimization Algorithms; Vehicle Routing Optimization Methods,https://api.openalex.org/works?filter=author.id:A5101899080
16,A5028436138,0000-0003-4510-4041,Vicente Sisto,Pontificia Universidad Católica de Valparaíso,CL,https://ror.org/02cafbr77,18,31,928,99,Social Sciences,Social Sciences,Education and Teacher Training; Social Sciences and Policies; Educational Practices and Policies; Educational theories and practices; Higher Education and Sustainability,https://api.openalex.org/works?filter=author.id:A5028436138
17,A5101554626,0000-0001-8291-0849,Ángel Ignacio Pérez Gómez,University of Atacama,CL,https://ror.org/022yres73,18,33,2494,139,Social Sciences,Social Sciences,Educational Practices and Policies; Higher Education Teaching and Evaluation; Educational theories and practices; Education and Teacher Training; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5101554626
18,A5079778875,0000-0002-7196-6983,Raquel Lucas Platero Méndez,Catholic University of the Maule,CL,https://ror.org/04vdpck27,17,25,794,126,Social Sciences,Social Sciences,"Gender and Feminist Studies; LGBTQ Health, Identity, and Policy; Social Sciences and Policies; Gender, Feminism, and Media; Human Rights and Immigration",https://api.openalex.org/works?filter=author.id:A5079778875
19,A5083125818,0000-0001-9449-8273,Paula Ascorra,Pontificia Universidad Católica de Valparaíso,CL,https://ror.org/02cafbr77,17,29,868,126,Social Sciences,Social Sciences,Education and Teacher Training; Inclusive Education and Diversity; Educational Innovations and Technology; Social Sciences and Policies; Social Skills and Education,https://api.openalex.org/works?filter=author.id:A5083125818
20,A5076127678,0000-0001-6901-0846,Anahí Urquiza,University of Chile,CL,https://ror.org/047gc3g35,17,20,765,76,Social Sciences,Social Sciences,"Social Sciences and Policies; Aging, Health, and Disability; Environmental and Cultural Studies in Latin America and Beyond; Energy and Environment Impacts; Sustainability and Climate Change Governance",https://api.openalex.org/works?filter=author.id:A5076127678
21,A5031697683,0000-0002-5634-465X,Eduardo Restrepo,Universidad Católica de Temuco,CL,https://ror.org/051nvp675,16,26,1253,179,Social Sciences,Social Sciences,Latin American Cultural Politics; History and Politics in Latin America; Social Sciences and Policies; Indigenous Cultures and History; Immigration and Intercultural Education,https://api.openalex.org/works?filter=author.id:A5031697683
22,A5015572564,0000-0003-1364-9266,Luis Quezada,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,16,23,869,75,"Business, Management and Accounting",Social Sciences,Quality and Supply Management; Sustainable Supply Chain Management; Accounting and Organizational Management; Multi-Criteria Decision Making; Strategic Planning and Analysis,https://api.openalex.org/works?filter=author.id:A5015572564
23,A5052340557,0000-0002-5803-863X,Aldo Mascareño,Centro de Estudios Científicos,CL,https://ror.org/00t8xfq63,16,21,1472,143,Social Sciences,Social Sciences,Social Sciences and Policies; Public Policy and Governance; Comparative constitutional jurisprudence studies; Latin American socio-political dynamics; International Relations in Latin America,https://api.openalex.org/works?filter=author.id:A5052340557
24,A5111212106,,F. Daniel Hidalgo,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,16,19,1835,100,Social Sciences,Social Sciences,Corruption and Economic Development; Media Influence and Politics; Legal and Constitutional Studies; Electoral Systems and Political Participation; Politics and Society in Latin America,https://api.openalex.org/works?filter=author.id:A5111212106
25,A5011677827,0000-0002-5388-1070,Diego Rojas,University of Chile,CL,https://ror.org/047gc3g35,16,22,876,100,"Economics, Econometrics and Finance",Social Sciences,Global trade and economics; Taxation and Compliance Studies; Pneumocystis jirovecii pneumonia detection and treatment; Labor market dynamics and wage inequality; Digital Economy and Work Transformation,https://api.openalex.org/works?filter=author.id:A5011677827
26,A5052031397,0000-0002-2174-0900,Felipe González,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,16,26,1311,230,Social Sciences,Social Sciences,"Transportation Planning and Optimization; Urban Transport and Accessibility; Social Sciences and Policies; Employment, Labor, and Gender Studies; Economic and Environmental Valuation",https://api.openalex.org/works?filter=author.id:A5052031397
27,A5030046414,0000-0001-8936-2435,Carla Fardella,Universidad Andrés Bello,CL,https://ror.org/01qq57711,16,22,623,72,Social Sciences,Social Sciences,Education and Teacher Training; Social Sciences and Policies; Inclusive Education and Diversity; Higher Education and Sustainability; Educational Practices and Policies,https://api.openalex.org/works?filter=author.id:A5030046414
28,A5012520666,0000-0002-9673-5727,Mahía Saracostti,University of Chile,CL,https://ror.org/047gc3g35,16,29,1074,114,Social Sciences,Social Sciences,Education and Teacher Training; Educational Innovations and Technology; Early Childhood Education and Development; Social Sciences and Policies; Parental Involvement in Education,https://api.openalex.org/works?filter=author.id:A5012520666
29,A5030726857,0000-0001-8144-6394,Héctor López-Ospina,"Universidad de Los Andes, Chile",CL,https://ror.org/03v0qd864,15,21,673,54,Social Sciences,Social Sciences,Transportation Planning and Optimization; Multi-Criteria Decision Making; Consumer Market Behavior and Pricing; Optimization and Mathematical Programming; Accounting and Organizational Management,https://api.openalex.org/works?filter=author.id:A5030726857
30,A5002598354,0000-0003-1265-7854,Juan Carlos Castillo,University of Chile,CL,https://ror.org/047gc3g35,15,15,972,39,Social Sciences,Social Sciences,"Social Policy and Reform Studies; Income, Poverty, and Inequality; Taxation and Compliance Studies; Social and Cultural Dynamics; Psychological Well-being and Life Satisfaction",https://api.openalex.org/works?filter=author.id:A5002598354
31,A5056761232,0000-0002-5602-3960,Marcela Aracena,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,15,22,655,80,Psychology,Social Sciences,"Child and Adolescent Psychosocial and Emotional Development; Health and Lifestyle Studies; Aging, Health, and Disability; Child Abuse and Trauma; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5056761232
32,A5101541650,0000-0001-9682-9494,Jaime Miranda,University of Chile,CL,https://ror.org/047gc3g35,15,17,1150,24,Decision Sciences,Social Sciences,Scheduling and Timetabling Solutions; Online Learning and Analytics; Stock Market Forecasting Methods; Vehicle Routing Optimization Methods; Time Series Analysis and Forecasting,https://api.openalex.org/works?filter=author.id:A5101541650
33,A5056736150,0000-0001-8717-3868,Nicolás M. Somma,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,15,21,1014,69,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Social Media and Politics; Political Conflict and Governance; Electoral Systems and Political Participation,https://api.openalex.org/works?filter=author.id:A5056736150
34,A5103267291,0000-0002-9266-049X,Elizabeth Lira,Alberto Hurtado University,CL,https://ror.org/00749za89,15,19,688,104,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Memory, violence, and history; Conflict, Peace, and Violence in Colombia; Social Sciences and Policies; Criminal Justice and Penology",https://api.openalex.org/works?filter=author.id:A5103267291
35,A5047797639,,Larissa Lomnitz,Centro de Estudios Científicos,CL,https://ror.org/00t8xfq63,15,27,1797,102,Social Sciences,Social Sciences,"Science, Technology, and Education in Latin America; Educational Research and Science Teaching; Political Dynamics in Latin America; Latin American and Latino Studies; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5047797639
36,A5050678752,0000-0002-6438-1522,Iskra Pávez Soto,Universidad Bernardo O'Higgins,CL,https://ror.org/00x0xhn70,15,17,601,95,Social Sciences,Social Sciences,"Migration, Education, Indigenous Social Dynamics; Immigration and Intercultural Education; Social Sciences and Policies; Cultural and Social Studies in Latin America; Gender, Health, and Social Inequality",https://api.openalex.org/works?filter=author.id:A5050678752
37,A5103045557,0000-0002-1964-7213,Cristóbal Villalobos,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,15,23,781,111,Social Sciences,Social Sciences,Education and Teacher Training; Social Sciences and Policies; Inclusive Education and Diversity; School Choice and Performance; Global Education and Multiculturalism,https://api.openalex.org/works?filter=author.id:A5103045557
38,A5014842046,0000-0001-9464-3063,Cristián Cox,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,15,18,590,79,Social Sciences,Social Sciences,Educational Practices and Policies; Education and Teacher Training; Educator Training and Historical Pedagogy; Global Education and Multiculturalism; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5014842046
39,A5088919940,0000-0002-1219-8355,Aldo Madariaga,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,14,16,703,82,Social Sciences,Social Sciences,"Social Policy and Reform Studies; Economic Theory and Policy; Political Economy and Marxism; Regional resilience and development; Housing, Finance, and Neoliberalism",https://api.openalex.org/works?filter=author.id:A5088919940
40,A5101477400,0000-0003-1946-2689,Javier Núñez,University of Chile,CL,https://ror.org/047gc3g35,14,17,600,73,Social Sciences,Social Sciences,"Intergenerational and Educational Inequality Studies; Income, Poverty, and Inequality; Experimental Behavioral Economics Studies; Labor market dynamics and wage inequality; Sperm and Testicular Function",https://api.openalex.org/works?filter=author.id:A5101477400
41,A5064525965,0000-0001-6010-9604,Mauricio Morales,University of Talca,CL,https://ror.org/01s4gpq44,14,19,703,88,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Electoral Systems and Political Participation; Public Policy and Governance; Political Theory and Democracy,https://api.openalex.org/works?filter=author.id:A5064525965
42,A5049583648,0000-0001-7851-2960,Matías Berthelon,Adolfo Ibáñez University,CL,https://ror.org/0326knt82,14,16,655,41,Social Sciences,Social Sciences,"Poverty, Education, and Child Welfare; Gender, Labor, and Family Dynamics; Income, Poverty, and Inequality; Early Childhood Education and Development; School Choice and Performance",https://api.openalex.org/works?filter=author.id:A5049583648
43,A5052930912,0000-0002-5695-3025,Pedro Palominos,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,14,18,626,63,"Business, Management and Accounting",Social Sciences,Quality and Supply Management; Accounting and Organizational Management; Multi-Criteria Decision Making; Scheduling and Optimization Algorithms; Sustainable Supply Chain Management,https://api.openalex.org/works?filter=author.id:A5052930912
44,A5068397783,0000-0003-0159-4712,Marisa Bucheli,Universidad La República,CL,https://ror.org/05xs36f43,13,18,931,154,Social Sciences,Social Sciences,"Income, Poverty, and Inequality; Gender, Labor, and Family Dynamics; Fiscal Policy and Economic Growth; Employment, Labor, and Gender Studies; Retirement, Disability, and Employment",https://api.openalex.org/works?filter=author.id:A5068397783
45,A5002818343,0000-0001-7114-3146,Nicole Jenne,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,13,16,539,73,Social Sciences,Social Sciences,Peacebuilding and International Security; International Relations and Foreign Policy; International Relations in Latin America; Global Peace and Security Dynamics; International Development and Aid,https://api.openalex.org/works?filter=author.id:A5002818343
46,A5006149473,0000-0002-7314-3577,Kathya Araujo,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,13,22,551,70,Arts and Humanities,Social Sciences,"Cultural and Social Studies in Latin America; Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies; Latin American socio-political dynamics; Gender, Violence, Rights in Latin America",https://api.openalex.org/works?filter=author.id:A5006149473
47,A5022914575,0000-0001-8041-9642,Cristián Parker Gumucio,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,13,16,463,86,Social Sciences,Social Sciences,"Religion and Society Interactions; Religion and Society in Latin America; Religious and Theological Studies; Religion, Society, and Development; Higher Education and Sustainability",https://api.openalex.org/works?filter=author.id:A5022914575
48,A5041465961,,Martín Hopenhayn,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,13,18,560,149,Social Sciences,Social Sciences,"Social Sciences and Policies; Economic and Social Development; Employment, Labor, and Gender Studies; Regional Development and Innovation; Public Policy and Governance",https://api.openalex.org/works?filter=author.id:A5041465961
49,A5081000743,0000-0001-6235-1912,Antonio Stecher,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,13,16,395,52,Social Sciences,Social Sciences,"Employment, Labor, and Gender Studies; Labor Movements and Unions; Latin American socio-political dynamics; Social Sciences and Policies; Employment and Welfare Studies",https://api.openalex.org/works?filter=author.id:A5081000743
50,A5034464471,,Claudio Sapelli,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,13,16,654,70,Social Sciences,Social Sciences,"School Choice and Performance; Educational Outcomes and Influences; Income, Poverty, and Inequality; Economic Theory and Policy; Economic and Social Development",https://api.openalex.org/works?filter=author.id:A5034464471
51,A5040021924,0000-0001-5355-5489,Felipe Link,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,13,18,799,62,Social Sciences,Social Sciences,"Latin American Urban Studies; Regional Development and Innovation; Social Sciences and Policies; Migration, Aging, and Tourism Studies; Place Attachment and Urban Studies",https://api.openalex.org/works?filter=author.id:A5040021924
52,A5101936692,0000-0002-3493-1511,María Luisa Méndez,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,13,14,512,75,Social Sciences,Social Sciences,"Urban, Neighborhood, and Segregation Studies; Political and Social Dynamics in Chile and Latin America; Social and Cultural Dynamics; Social Sciences and Policies; Public Policy and Governance",https://api.openalex.org/works?filter=author.id:A5101936692
53,A5036951725,,Maurice A. Garnier,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,13,16,669,34,Social Sciences,Social Sciences,"Intergenerational and Educational Inequality Studies; Labor market dynamics and wage inequality; School Choice and Performance; Global Educational Policies and Reforms; Defense, Military, and Policy Studies",https://api.openalex.org/works?filter=author.id:A5036951725
54,A5014762829,0000-0002-1218-0091,Magdalena Saldaña,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,13,17,501,52,Social Sciences,Social Sciences,Social Media and Politics; Media Studies and Communication; Misinformation and Its Impacts; Electoral Systems and Political Participation; Hate Speech and Cyberbullying Detection,https://api.openalex.org/works?filter=author.id:A5014762829
55,A5022509851,0000-0001-5597-5241,Jenny Assaél,University of Chile,CL,https://ror.org/047gc3g35,13,14,595,43,Social Sciences,Social Sciences,Education and Teacher Training; Educational Practices and Policies; Inclusive Education and Diversity; Education in Rural Contexts; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5022509851
56,A5068860915,0000-0002-8443-0707,Cynthia Duk,Universidad Central de Chile,CL,https://ror.org/0577avk88,13,13,615,46,Social Sciences,Social Sciences,Social Sciences and Policies; Inclusive Education and Diversity; Education and Teacher Training; Educational Practices and Policies; Immigration and Intercultural Education,https://api.openalex.org/works?filter=author.id:A5068860915
57,A5010920764,,Harold H. Joachim,University of Chile,CL,https://ror.org/047gc3g35,12,13,877,56,Arts and Humanities,Social Sciences,"Classical Philosophy and Thought; Seventeenth-Century Political and Philosophical Thought; Logic, Reasoning, and Knowledge; Marxism and Critical Theory; Social Sciences and Governance",https://api.openalex.org/works?filter=author.id:A5010920764
58,A5083176736,0000-0001-5617-6230,Matías Bargsted,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,12,14,965,33,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Social Media and Politics; Social Capital and Networks; Religion and Society Interactions; Political and Social Dynamics in Chile and Latin America,https://api.openalex.org/works?filter=author.id:A5083176736
59,A5002260730,0000-0001-7603-2197,Esteban Puentes,University of Chile,CL,https://ror.org/047gc3g35,12,19,475,93,"Economics, Econometrics and Finance",Social Sciences,"Labor market dynamics and wage inequality; Taxation and Compliance Studies; Employment and Welfare Studies; Income, Poverty, and Inequality; Poverty, Education, and Child Welfare",https://api.openalex.org/works?filter=author.id:A5002260730
60,A5000725260,0000-0003-1129-5441,Sergio Toro,Universidad Mayor,CL,https://ror.org/00pn44t17,12,12,413,64,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Social Media and Politics; Electoral Systems and Political Participation; International Relations in Latin America,https://api.openalex.org/works?filter=author.id:A5000725260
61,A5103053126,0000-0001-5728-2772,Ricardo Gamboa,University of Chile,CL,https://ror.org/047gc3g35,12,14,448,53,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; International Relations in Latin America; Politics and Society in Latin America; Electoral Systems and Political Participation; Political Theory and Democracy,https://api.openalex.org/works?filter=author.id:A5103053126
62,A5013425294,0000-0002-5317-4237,Cristina Vega,University of Concepción,CL,https://ror.org/0460jpj73,12,18,409,92,Social Sciences,Social Sciences,Social Sciences and Policies; Immigration and Intercultural Education; Gender and Feminist Studies; Employment and Welfare Studies; Plant and soil sciences,https://api.openalex.org/works?filter=author.id:A5013425294
63,A5054687499,,José Tessada,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,12,15,769,72,Social Sciences,Social Sciences,"Migration, Ethnicity, and Economy; Labor market dynamics and wage inequality; Migration and Labor Dynamics; Gender, Labor, and Family Dynamics; Financial Literacy, Pension, Retirement Analysis",https://api.openalex.org/works?filter=author.id:A5054687499
64,A5061414963,0000-0001-9297-3480,Émmanuelle Barozet,Centro de Estudios Científicos,CL,https://ror.org/00t8xfq63,12,15,1628,84,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies; Public Policy and Governance; Latin American socio-political dynamics; Income, Poverty, and Inequality",https://api.openalex.org/works?filter=author.id:A5061414963
65,A5002754958,0000-0001-7840-1072,Ricardo A. Ayala,University of the Americas,CL,https://ror.org/0166e9x11,12,14,415,98,Social Sciences,Social Sciences,"Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America; Interprofessional Education and Collaboration; Nursing Education, Practice, and Leadership; Ethics in medical practice",https://api.openalex.org/works?filter=author.id:A5002754958
66,A5002071527,0000-0002-4607-3964,Antoine Maillet,University of Chile,CL,https://ror.org/047gc3g35,12,16,491,60,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; International Relations in Latin America; Social Policy and Reform Studies; Public Policy and Administration Research,https://api.openalex.org/works?filter=author.id:A5002071527
67,A5001165594,,Ernesto Garzón Valdés,Federico Santa María Technical University,CL,https://ror.org/05510vn56,12,15,416,159,Social Sciences,Social Sciences,Comparative constitutional jurisprudence studies; Ethics and bioethics in healthcare; Social Sciences and Policies; Comparative International Legal Studies; Legal processes and jurisprudence,https://api.openalex.org/works?filter=author.id:A5001165594
68,A5059102514,,Osvaldo Larrañaga,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,12,14,553,65,"Economics, Econometrics and Finance",Social Sciences,"Economic Theory and Policy; Economic and Social Development; Income, Poverty, and Inequality; Poverty, Education, and Child Welfare; Public Policy and Governance",https://api.openalex.org/works?filter=author.id:A5059102514
69,A5075170717,0000-0003-1826-7822,Raúl Berríos,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,12,13,852,25,Social Sciences,Social Sciences,Social and Intergroup Psychology; Cultural Differences and Values; Job Satisfaction and Organizational Behavior; Behavioral Health and Interventions; Gender Diversity and Inequality,https://api.openalex.org/works?filter=author.id:A5075170717
70,A5049248836,0000-0002-2943-4430,Vicente Espinoza,Centro de Estudios Científicos,CL,https://ror.org/00t8xfq63,12,18,569,67,Social Sciences,Social Sciences,Social Sciences and Policies; Latin American socio-political dynamics; Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; Social Capital and Networks,https://api.openalex.org/works?filter=author.id:A5049248836
71,A5091749160,0000-0001-9281-8018,Alejandro Corvalán,University of Chile,CL,https://ror.org/047gc3g35,12,14,533,82,Arts and Humanities,Social Sciences,"Philosophy and History of Science; Bayesian Modeling and Causal Inference; Electoral Systems and Political Participation; Politics and Society in Latin America; Income, Poverty, and Inequality",https://api.openalex.org/works?filter=author.id:A5091749160
72,A5028904878,0000-0003-0446-2467,Modesto Gayo,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,11,11,519,70,Social Sciences,Social Sciences,Cultural Industries and Urban Development; Social and Cultural Dynamics; Social Sciences and Policies; Music History and Culture; Parental Involvement in Education,https://api.openalex.org/works?filter=author.id:A5028904878
73,A5111448161,,María Cristina Riff,Federico Santa María Technical University,CL,https://ror.org/05510vn56,11,13,551,40,Decision Sciences,Social Sciences,Scheduling and Timetabling Solutions; Metaheuristic Optimization Algorithms Research; Constraint Satisfaction and Optimization; Artificial Immune Systems Applications; Vehicle Routing Optimization Methods,https://api.openalex.org/works?filter=author.id:A5111448161
74,A5078974026,0000-0002-6510-0294,Rossana Castiglioni,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,11,17,468,35,Social Sciences,Social Sciences,Social Policy and Reform Studies; Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; Politics and Society in Latin America; Employment and Welfare Studies,https://api.openalex.org/works?filter=author.id:A5078974026
75,A5008172930,0000-0002-9662-6547,Juan Diego García‐Castro,Centro de Estudios Científicos,CL,https://ror.org/00t8xfq63,11,12,584,54,Psychology,Social Sciences,"Psychological Well-being and Life Satisfaction; Income, Poverty, and Inequality; Social and Cultural Dynamics; Global Health and Surgery; Crime Patterns and Interventions",https://api.openalex.org/works?filter=author.id:A5008172930
76,A5068977331,0000-0002-5811-0988,Alfredo Joignant,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,11,11,492,71,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; French Urban and Social Studies; Social Sciences and Governance; Electoral Systems and Political Participation,https://api.openalex.org/works?filter=author.id:A5068977331
77,A5006227576,0000-0002-3186-5897,Lorena Godoy,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,11,12,286,34,Social Sciences,Social Sciences,"Employment, Labor, and Gender Studies; Educational theories and practices; Social Sciences and Policies; Health, Medicine and Society; Aging, Elder Care, and Social Issues",https://api.openalex.org/works?filter=author.id:A5006227576
78,A5074996624,0000-0003-2755-4911,Alejandra Falabella,Alberto Hurtado University,CL,https://ror.org/00749za89,11,13,708,45,Social Sciences,Social Sciences,Education and Teacher Training; Global Educational Policies and Reforms; Educational Assessment and Improvement; Educational Practices and Policies; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5074996624
79,A5066902985,0000-0002-8904-5111,Nicolás Didier,University of Chile,CL,https://ror.org/047gc3g35,11,12,1569,34,"Economics, Econometrics and Finance",Social Sciences,"Labor market dynamics and wage inequality; Cultural Differences and Values; Employment, Labor, and Gender Studies; Retirement, Disability, and Employment; Social and Intergroup Psychology",https://api.openalex.org/works?filter=author.id:A5066902985
